fsq_id,distance_station,latitude,longitude,name,category_name,rating,city_bikes_id
4aa7d47ff964a520714d20e3,755,49.27671,-123.11946,The Keg Steakhouse + Bar - Yaletown,Restaurant,,5
4aaab560f964a5200c5720e3,891,49.286952,-123.115629,The Vancouver Club,Structure,,5
4aa75811f964a520bd4c20e3,639,49.284816,-123.114392,Trees Organic Coffee,Café,,5
5cd9e07fd176e9003299b498,977,49.273374,-123.119419,OEB Breakfast Co,Dining and Drinking,,5
4bfdb7bcf61dc9b6bb7a9fde,859,49.284786,-123.119176,Hy's Steakhouse & Cocktail Bar,Steakhouse,,5
4aa72f9af964a5202e4c20e3,391,49.283214,-123.109063,The Cambie,Pub,,5
4f5e3527771636118a532177,253,49.281376,-123.10769,The Pint Public House,Pub,,5
4aaa9a0ef964a5208d5620e3,898,49.285532,-123.118834,Cactus Club Cafe Bentall 5,American Restaurant,,5
5a878c33f8cbd46ab822ef69,993,49.275006,-123.121748,MeeT in Yaletown,Vegan and Vegetarian Restaurant,,5
5c4cccbf6bdee600398e07fb,987,49.271332,-123.105861,Gusto a Taste of Italy,Bistro,,5
4aa9c8c3f964a5204a5520e3,741,49.28388,-123.118206,Diva at the Met,Diner,,5
5a207a74dee77059a6fc0276,620,49.283692,-123.104074,Local Gastown,New American Restaurant,,5
5a0fd58f1b0ea50e677fd1a2,813,49.280066,-123.121369,Dublin Calling,Pub,,5
4ab16be4f964a520696920e3,694,49.284899,-123.115616,Tim Hortons,"Cafe, Coffee, and Tea House",,5
553bdde9498e4eca654a36d3,905,49.283844,-123.120961,Notch8 Restaurant,Restaurant,,5
4af49287f964a520f8f321e3,746,49.284796,-123.116986,Vsev-Joyeaux Cafe & Restaurant Ltd,Vietnamese Restaurant,,5
58433dcee110955af05a854c,744,49.278744,-123.100002,Dalina,Café,,5
56a8fbd6498e80ba3f11b798,617,49.27863,-123.118488,Per Se Social Corner,Deli,,5
5674aec9498e6800815c3598,359,49.257484,-123.11482,Vij's,Indian Restaurant,,7
4aec909ff964a520ccc821e3,491,49.263724,-123.108701,Milano Coffee,Coffee Shop,,7
5a31538260d11b06bc47c475,540,49.263182,-123.107195,Modus Coffee,Café,,7
51b201d27dd249ae714ba728,697,49.263877,-123.105307,33 Acres Brewing Co,Bar,,7
551f1b46498e86217dc958e6,623,49.255054,-123.114856,Rain or Shine,Ice Cream Parlor,,7
4aa98676f964a520105420e3,386,49.263077,-123.117243,Elysian Coffee Broadway,Coffee Shop,,7
5478ca03498e3bbc45e6ce54,753,49.264531,-123.105038,Elysian Coffee,Coffee Shop,,7
4b1db335f964a520211424e3,305,49.263328,-123.11402,Marulilu Cafe,Café,,7
53c4959b498ebad0cc0cdfb4,761,49.261909,-123.103193,The Federal Store,Café,,7
4fb6cb56e4b04335c6dfbe0a,931,49.259164,-123.100851,49th Parallel Coffee Roast,Coffee Shop,,7
588e7f618b0ebb5d010abac4,368,49.263015,-123.116994,Hokkaido Ramen Santouka,Ramen Restaurant,,7
5b7882e95455b2002c6abf1c,932,49.266631,-123.104568,Pure Bread,Bakery,,7
5bbad75ead910e002c9f46fa,678,49.263903,-123.105634,33 Brewing Experiment,Brewery,,7
4aa6f181f964a520934b20e3,933,49.261744,-123.100746,The Cascade Room,Lounge,,7
4ab145f3f964a520d56820e3,465,49.264703,-123.112191,Solly's Bagelry,Bakery,,7
57859a88498ee75da193d5c7,911,49.263042,-123.101505,Fable Diner,Diner,,7
4aa6ae76f964a520a24a20e3,973,49.257619,-123.100882,Burgoo Bistro Main St,Bistro,,7
508eda05e4b0e43936144601,729,49.254563,-123.109543,The Mighty Oak,Café,,7
4aa843e0f964a5207f5020e3,409,49.263396,-123.117189,Cactus Club Cafe Broadway + Ash,American Restaurant,,7
5aee0168d552c7002c136af0,985,49.267115,-123.104285,Electric Bicycle Brewing,Brewery,,7
531142f211d2358d5388bb3c,981,49.264298,-123.101206,Fox Cabaret,Movie Theater,,7
50982adee4b0cb1b3389815d,278,49.263035,-123.112616,Sushi California,Sushi Restaurant,,7
4b342ac8f964a520b92525e3,668,49.263675,-123.12143,Dynasty Seafood Restaurant 皇朝海鮮酒家,Chinese Restaurant,,7
595458b7b37e2b4fe08efe40,945,49.262233,-123.100706,Ignite Pizzeria,Pizzeria,,7
56170a0b498e26e1cc61f3b0,952,49.258129,-123.100925,Uncle Abe's,Cocktail Bar,,7
4aada5a2f964a520236120e3,971,49.268684,-123.118613,The Wicklow Pub,Pub,,7
4aa6b094f964a520ad4a20e3,948,49.258242,-123.100935,JJ Bean Coffee Roasters,Café,,7
55416137498e0d288b76b9e7,935,49.258994,-123.100836,Colony Bar Main Street,Sports Bar,,7
5c6f3cc2c03635002c74c211,920,49.260652,-123.100815,Sing Sing Beer Bar,Beer Bar,,7
4aa82a04f964a520be4f20e3,993,49.263721,-123.100671,Gene Coffeebar,Coffee Shop,,7
4adbdddff964a520ec2a21e3,562,49.25562,-123.114904,Café Gloucester 告羅士打餐廳,Chinese Restaurant,,7
5bcacf35364d97002cae03a0,904,49.266312,-123.104622,Tacofino Ocho,Taco Restaurant,,7
612a61346f20c75a0bd63f22,949,49.258541,-123.100798,Forecast Coffee,Coffee Shop,,7
4b16d55ff964a5201dbe23e3,502,49.263963,-123.118129,Ebisu on Broadway,Sushi Restaurant,,7
59e2bb22002f4c4049c0597a,672,49.254529,-123.114973,Viet House,Vietnamese Restaurant,,7
4b4458daf964a52011f425e3,362,49.263714,-123.114614,Wendy's,Burger Joint,,7
4ab793e7f964a520227a20e3,730,49.254096,-123.115018,Starbucks,Coffee Shop,,7
4aa9212ff964a520185220e3,737,49.267226,-123.112973,Starbucks,Coffee Shop,,7
5e1e5c46568f980008a9fad9,92,49.260059,-123.114471,iDen & Quan Ju de Beijing Duck House,Chinese Restaurant,,7
5898f8a5af5c1411a1a2263d,867,49.265807,-123.122423,Tim Hortons,"Cafe, Coffee, and Tea House",,7
6031681b8f3fbb0da52233f2,143,49.260723,-123.115582,Regal Mansion Cuisine,Dim Sum Restaurant,,7
4aa7d352f964a520684d20e3,950,49.262516,-123.10073,Caffe Barney,Diner,,7
63560d0518f2d50e9c6b4717,287,49.262886,-123.115361,Jollibee,Fried Chicken Joint,,7
6171f98555d8535cda934577,362,49.263719,-123.112026,Pokerrito,Hawaiian Restaurant,,7
4aa6b9c6f964a520d34a20e3,929,49.259015,-123.100919,Vera's Burger Shack,Burger Joint,,7
4b4e3632f964a52072e526e3,783,49.263583,-123.123288,Tim Hortons,"Cafe, Coffee, and Tea House",,7
4aa8320cf964a520f94f20e3,352,49.263421,-123.115731,Blenz Coffee,Café,,7
5aecb62e947c050039251eea,462,49.263546,-123.118013,Tractor,Salad Restaurant,,7
61f0a211e51e08606aad7c76,559,49.265229,-123.116534,Cafe & Life Co,Coffee Shop,,7
5056550be4b04df235227f2d,714,49.257182,-123.12185,Willow Cafe Bakery,Café,,7
4aa98676f964a520105420e3,132,49.263077,-123.117243,Elysian Coffee Broadway,Coffee Shop,,8
588e7f618b0ebb5d010abac4,144,49.263015,-123.116994,Hokkaido Ramen Santouka,Ramen Restaurant,,8
4aec909ff964a520ccc821e3,660,49.263724,-123.108701,Milano Coffee,Coffee Shop,,8
5a31538260d11b06bc47c475,775,49.263182,-123.107195,Modus Coffee,Café,,8
5674aec9498e6800815c3598,777,49.257484,-123.11482,Vij's,Indian Restaurant,,8
51b201d27dd249ae714ba728,904,49.263877,-123.105307,33 Acres Brewing Co,Bar,,8
4aa843e0f964a5207f5020e3,100,49.263396,-123.117189,Cactus Club Cafe Broadway + Ash,American Restaurant,,8
